,category,text
26295,Books,"The 4-Hour Workweek, Expanded and Updated: Expanded and Updated, With Over 100 New Pages of Cutting-Edge Content. Review ""It's about time this book was written. It is a long-overdue manifesto for the mobile lifestyle, and Tim Ferriss is the ideal ambassador. This will be huge."" —Jack Canfield, Co-creator of Chicken Soup for the Soul®, 100+ million copies sold  ""This is a whole new ball game.  Highly recommended."" —Dr. Stewart D. Friedman, Director of the Work/Life Integration Project, The Wharton School ""Stunning and amazing. From mini-retirements to outsourcing your life, it's all here. Whether you're a wage slave or a Fortune 500 CEO, this book will change your life!"" —Phil Town, #1 New York Times Bestselling Author of Rule #1 ""The 4-Hour Workweek is a new way of solving a very old problem: just how can we work to live and prevent our lives from being all about work?  A world of infinite options awaits those who would read this book and be inspired by it!""   —Michael E. Gerber, Founder & Chairman of E-Myth Worldwide and the World's #1 Small Business Guru “Timothy has packed more lives into his 29 years than Steve Jobs has in his 51.” —Tom Foremski, Journalist and Publisher of SiliconValleyWatcher.com “Thanks to Tim Ferriss, I have more time in my life to travel, spend time with family and write book blurbs. This is a dazzling and highly useful work.” —A.J. Jacobs, Editor-at-Large, Esquire Magazine, Author of The Know-It-All ""If you want to live life on your own terms, this is your blueprint."" —Mike Maples, Co-founder of Motive Communications (IPO to $260M market cap), Founding Executive of Tivoli (sold to IBM for $750M) ""Tim is Indiana Jones for the digital age. I've already used his advice to go spearfishing on remote islands and ski the best hidden slopes of Argentina. Simply put, do what he says and you can live like a millionaire.""  —Albert Pope, Derivatives Trading, UBS World Headquarters “This engaging book makes you ask the most important question that you will ever face: What exactly is it that you want out of work and life, and why? Tim Ferriss is a master of getting more for less, often with the help of people he doesn't even know, and here he gives away his secrets for fulfilling your dreams.” —Bo Burlingham, Editor-at-Large, Inc. magazine and author of Small Giants: Companies That Choose To Be Great Instead of Big ""Reading this book is like putting a few zeros on your income.  Tim brings lifestyle to a new level–listen to him!"" —Michael D. Kerlin, McKinsey & Company Consultant to Bush-Clinton Katrina Fund and J. William Fulbright Scholar  ""Part scientist and part adventure hunter, Tim Ferriss has created a road map for an entirely new world.  I devoured this book in one sitting–I have seen nothing like it."" —Charles L. Brock, Chairman and CEO, Brock Capital Group; Former CFO, COO, and General Counsel, Scholastic, Inc.; Former President, Harvard Law School Association ""Outsourcing is no longer just for Fortune 500 companies.  Small and mid-sized firms, as well as busy professionals, can outsource their work to increase their productivity and free time for more important commitments. It's time for the world to take advantage of this revolution.” —Vivek Kulkarni, CEO Brickwork India and former IT Secretary, Bangalore;Credited as the “techno-bureaucrat” who helped make Bangalore an IT destination in India ""Tim is the master! I should know. I followed his rags to riches path and watched him transform himself from competitive fighter to entrepreneur. He tears apart conventional assumptions until he finds a better way.""  —Dan Partland, Emmy Award-Winning Producer; American High, Welcome to the Dollhouse ""The 4-Hour Workweek is an absolute necessity for those adventurous souls who want to live life to its fullest.  Buy it and read it before you sacrifice any more!"" —John Lusk, Group Product Manager, Microsoft World Headquarters ""If you want to live your dreams now, and not in 20 or 30 years, buy this book!"" —Laura Roden, Chairman of the Silicon Valley Association of Start-up Entrepreneurs;Lecturer in Corporate Finance, San Jose State University “With this kind of time management and focus on the important things in life, people should be able to get 15 times as much done in a normal work week.” —Tim Draper, Founder, Draper Fisher Jurvetson; Financiers to innovators including Hotmail, Skype, and Overture.com ""Tim Ferriss’s book is about gaining the courage to streamline your life… But even more than that, it challenges the reader to seriously consider an essential–yet rarely asked–question:  What do you really want from life?"" —Rolf Potts, Author of Vagabonding and Travel Columnist for Yahoo! News ""Tim has done what most people only dream of doing. I can't believe he is going to let his secrets out of the bag. This book is a must read!"" —Stephen Key, Top Inventor and Team Designer of Teddy Ruxpin, Lazer Tag; Consultant to “American Inventor” 				    	 					 About the Author TIMOTHY FERRISS is a serial entrepreneur, #1 New York Times bestselling author, and angel investor/advisor (Facebook, Twitter, Evernote, Uber, and 20+ more).  Best known for his rapid-learning techniques, Tim's books -- The 4-Hour Workweek, The 4-Hour Body, and The 4-Hour Chef -- have been published in 30+ languages. The 4-Hour Workweek has spent seven years on The New York Times bestseller list. Tim has been featured by more than 100 media outlets including The New York Times, The Economist, TIME, Forbes, Fortune, Outside, NBC, CBS, ABC, Fox and CNN. He has guest lectured in entrepreneurship at Princeton University since 2003. His popular blog www.fourhourblog.com has 1M+ monthly readers, and his Twitter account @tferriss was selected by Mashable as one of only five “Must-Follow” accounts for entrepreneurs. Tim’s primetime TV show, The Tim Ferriss Experiment (www.upwave.com/tfx), teaches rapid-learning techniques for helping viewers to produce seemingly superhuman results in minimum time."
26756,Books,Handbook Of Print Journalism 
15692,Household,"3 LED strips 12V Waterproof 5630/5730 LED SMD Injection module white - 20 module Specifications:  Type: Module 5630/5730 - 3 LED Light,  Input Voltage: DC 12V,  LED Quantity: 3 PCS Per Module,  Beam Angle: 120°,  Light Source Life: Average 50000 Hours,  Power: 0.72 W,  Adhesive Fixed: Double-Sided Adhesive,  Shell Material: PVC Plastic,  Size:(About) 1 PC: 78 x13 mm, Features:,  100% Brand New and High Quality.  Energy-Saving and Environmentally Friendly, High Brightness.  Low Heat Generating, No UV or IR Light Radiation.  Seismic, Impact Resistance, Non-Thermal Radiation, Safe and Stable, Reliable.  80% Energy Saving, High Brightness, Full Range Colors are Available.  Easy to Install and Convenient to Use in All Display Situation.  It is With Small Double Sided Tape Pasted on the Back (Average Strength Stickiness).  These Modules Comes Attached to Each Other in Parallel and Have About 3 Inch Connecting Wires Between the Modules. Applications:  Is Widely Used in Car, Stereo Shine Word, Marking, Light Box, Landscape Layout Sign Board, Inside Sign Board, Glow-sign Board and Stage Adornment, Blister Word, for Halls, Bars, Office, Home and Exhibition Lighting Garden and Exterior Lighting Etc."
49660,Electronics,"Xotak Smart Watch with Bluetooth Sim Card (4G Supported) Health Fitness Tracker and More - Black This Xotak Smartwatch has the perfect design to couple with your wardrobe both formal and casual. And it has a camera which allows you to conveniently capture a video or an image. You can check your entire phone SMS log, Facebook, WhatsApp messages and all other important messages. Xotak Smartwatch has a decent and unique design which looks stylish and performs even further. This Smartwatch is absolutely a great purchase. This watch features a round dial and an IPS HD touchscreen. The straps are also of good quality which does not cause pain or any kind of rash to the skin. Android Wear 2.0. Get your favorite apps and watch faces. Request a car ride. Explore a new neighborhood. With thousands of Android Wear apps, theres no limit to what you can do with your V8 watch. The band is sturdy. Mobile Phone Anti Lost: Watch and mobile phone are connected via Bluetooth, When the phone is away from the watch, the watch will automatically alarm. The watch and phone are able to detect each other at the same time. It has 0.3 MP camera on the top front of the smartwatch, with two physical buttons on the side that works as a home button/power button and a return button."
39268,Clothing & Accessories,"The Blazze Women Sports Shorts Gym Workout Yoga Short Seamless Boy shorts feature a comfortable, smooth waistband. Used for everyday use under garments or for Dance or athletic purposes. Choose correct fit : Small -(32""/80cm),Medium-(34""/85cm),Large-(36""/90cm),X-Large-(38""/95cm),XX-Large-(40""/100cm)"
39547,Clothing & Accessories,"KHUSHAL K Women's Rayon Kurta with Palazzo Set This beautiful solid marron kurta with printed palazzo set from khushal k will helps you maintain an elegant look all year long. This kurta palazzo made from rayon with printed style. This kurta has long straight fit kurta with front-slit pattern all over, has shirt collar 3/4th sleeves.Palazzo has a waistband with drawstring fastening with has a beaded trim along both ends makes it complete set. this set is a stylish option for a nice family function or an event when teamed with matching jewellery and classic flats."
17747,Household,"Aquieen 8 x 8"" Twister Overhead Shower (3 Function Mist & Rain), Silver"
20567,Books,"Jopo Smiling Family Matching Cotton T-Shirts for Mom, Dad and Kid (Mustard White-S - XXL Set of 3 and Set of 4) Jopo family t-shirts are some sort of togetherness statement, where you can proudly boast about the love you share with your family. In spite of you being a very busy man, you will be soon going out for a family vacation and you actually want to spend the days with your family in every possible way. Now how are you going to bring a full-blown smile on their faces? The answer is here in front of you in the form of the various family t-shirts.Buy these t-shirts, surprise your family, and make the day a special one. You always don’t need an occasion to make them feel loved and happy."
49879,Electronics,"IKALL K16 Dual SIM Mobile Phone with 1000mAH Battery and 1.8-inch screen (Dark Blue) Colour:Blue   Mobiles, Batteries, Charger and user manual, 1000 mAh Lithium-Ion Battery Capacity, MP3 and MP4 Player Supported, 0.3 Mp Camera, Bluetooth, GPRS, Headphone: 3.5MM Standard Audio Jack, MS Mode: 2G GSM."
10062,Household,"Organic Tattva Natural Rock Salt, 500g Our Mission: Our brand mission is to help people live a healthier, wholesome life by providing them with a variety of 100 percent certified, authentic organic foods. We value honesty, integrity and continual self-improvement. We are committed to a sustainable environment, zero-additive foods and complete customer-satisfaction. Brand philosophy: The brand organic tattva is based on the principles of health, ecology, fairness and care. At organic tattva, the team works with accredited organic farmers who do not use fertilizers, pesticides and genetically modified seeds so that their consumers can enjoy the benefits of nature and relish nutritious, healthy, pure and chemical-free food, an important factor contributing to overall wellbeing."
29011,Books,Dementia Care in Nursing (Transforming Nursing Practice Series) About the Author Dr Sue Barker is a registered mental health nurse and chartered psychologist; she works at Bournemouth University in the School of Health and Social Care as a Senior Lecturer.  She is also a member of Bournemouth University Dementia Institute as part of this she has undertaken consultancy and evaluation work.  She has a particular interest in mental and emotional wellbeing and her PhD explored the emotional care given to women becoming mothers.  Sue leads a unit on the mental health nursing programme entitled mental health and wellbeing in later life.
3799,Household,"GS Gujarat Drawer Handle, Modular Kitchen Cabinet Handle, Modular Kitchen Handle, Handle, 8"" inch, (Wooden Design) Pack of 6 Golden Sparrow.Guj has been known for offering decorative hardware that suit any home. In recent years, we’ve expanded our product offering to enhance the look and feel of various rooms in the home. Dew-mat now offers curtain brackets solutions for your entire Curtain. Take a look at our decorative cabinet hardware featuring unique finishes and designs, as well as functional cabinet hardware to fit a variety of cabinets and drawers. Adding Franklin Brass decorative wall plates is a great way to showcase your personal design in any room of your home. Stay organized with style by mounting Dewmat hook rails and individual hooks. Dew-mat offers solutions for all of your home décor needs."
27281,Books,"Man's Search for Meaning Review ""An enduring work of survival literature"" (New York Times)""If you read but one book this year, Dr Frankl's book should be that one."" (Los Angeles Times)""His works are essential reading for those who seek to understand the human condition."" (Chief Rabbi Dr Jonathan Sacks)""Influential and eloquent."" (Jewish Chronicle)""Perhaps the most significant thinking since Freud and Adler."" (The American Journal of Psychiatry) 				    	 					 About the Author Viktor Frankl was born in 1905 and was a Viennese psychiatrist and neurologist who developed the theory of logotherapy. Logotherapy is a type of existential analysis. He was a student of the University of Vienna where he studied medicine, focusing on the subjects of suicide and depression. Although he was influenced by Alfred Adler and Sigmund Freud, his work in the field of psychiatry was very different from theirs. He has won many illustrious awards in his time. He passed away on September 2, 1997."
42805,Electronics,"DailyObjects You are The Inspiration City Compact Messenger Bag for Up to 15.5 Inch Laptop/MacBook Color-Multicolor A Versatile Shoulder Bag With Long Carrying Handles And A Removable Shoulder Strap. DailyObjects Messenger Bag Convenient, Comfortable, And Easy To Carry, The DailyObjects Laptop & Tablet Bag Is A Slim Shoulder Bag Designed Protect And Transport To Your Electronics. The Padded Interior Features A Separate Interior Space To Hold Your Laptop Without Unnecessary Bulk. And The Mufti-Compartment Design Holds Cables, Pens, Phones And The Other Items You Need. Material and Craftsmanship Premium Material And Craftsmanship Are The Two Elements That Distinguish Dailyobjects Bags From The Rest. Multiple Strict Quality Control Tests Are Performed On Each Material Before They Are Shaped Into Bags. Each Piece Of Material Is Repeated Measured To Achieve Uniformity. Color Fastness Tests Are Completed To Ensure No Color Bleeding. Material Resistance Tests Are Performed To Ensure Durability. Dual Carry Carry The Messenger Bag By Its Reinforced Handle Or Wear It On Your Body Using The Padded Shoulder Strap."
41603,Electronics,"Storite 2.5 Inch SATA to USB 3.0 External Hard Drive Enclosure/Caddy (Black), Hard Drive Not Included Capacity:Black   Storite 2.5 Inches SATA to USB 3.0 External Hard Drive Enclosure/Caddy (Black), Hard Drive Not Included Safeguard Your External Hard Drive Give your external hard drive a solid protection. The Storite External Hard Drive Enclosure protects your SATA 2.5 inches portable hard drive from damage by encasing it securely inside. It is a sleek yet sturdy cover for your external hard drive that allows you enhanced durability, portability and flexibility with your external hard drive. You can utilize your home external hard drive for office PC or carry your external hard drive where you like with safety. Specifications With its standard USB 3.0 SuperSpeed Interface, this Storite Enclosure System allows you to transfer data into your SATA 2.5 inches external hard drive faster. It features s high-quality plug-and-play for your external hard drive that enhances the Enclosure’s utility quotient. You need not shut down your PC with its built-in hot-swap technology that lets you connect, work with and disconnect your external hard drive while your system remains on. For power, the Enclosure relies on USB connectivity with your PC and need not be powered externally. Its dual-colour LEDs indicate you about your hard drive’s connectivity with your PC. Compatibility You can encase your up to 1 TB 9.5 mm SATA external hard drive inside this Storite External Hard Drive Enclosure that connects with your PC via USB 3.0 interface as well as allows backwards-compatibility with USB 2.0 and USB 1.1 interfaces. It is accompanied with a USB cable and screw-system to fix your external hard drive permanently inside. For compatibility, the Enclosure works well with Windows 8, Windows 7, Windows 2000, Windows XP, Windows 98 and Windows ME and with Apple Mac."
9721,Household,"Paper Pep Soft Paper Cake Boxes 2 Pounds Plain Size: 10""X10""X4.5""(each) Baby Pink - Pack of 6 Gift Bags/Gift Boxes for Party/For Casual Gift Packaging For the love of flowers and Cakes we have merged the idea and created this beautiful Pack of 6 floral abstract printed Cake Paper box which look nothing less than a piece of heaven in itself! Made from high-quality material, these Cake boxes are strong and durable. What?s more? You can sneak peek to see the collection of cakes from the outside. Buy now before this collection runs out of stock. Size(inch): 10x10x4.5 . Note: Cakes not included"
31573,Clothing & Accessories,"Miss U Newborn Baby High Quality Soft Feel Cotton Polyester Blend Top Pyjama With Cap And Bib Set For New Born Babies (0-3 Months) PRINT MAY VARY Icable presents Winter Wear Baby Dress Combo which is made from premium quality hosiery fabric It is very soft and skin friendly for baby's extremely delicate skin It comes in very attractive colours This casual wear combo is a 5 piece set which contains a full sleeve front open top, a pyjama, a bib, a fancy cap Printed top features front opening button for fuss free dressing and comfort Good quality elastic is used in pyjama for extra comfort This is a perfect dress combo for your little one this winter Note: Actual product may slightly vary in terms of color and will be shipped based on availability."
43859,Electronics,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - 6 Feet (1.8 Meters),Black Size name:6 Feet   The AmazonBasics USB 2.0 A-Male to B-Male Cable with Gold-Plated Connectors gives you full performance with many USB devices."
11526,Household,"Shapes Captain Dinner Fork 12 Pcs. Shapes Products Pvt. Ltd. provides fine and classy cutlery that can make a difference to your dining experience.It is a world class provider of quality stainless steel cutlery with in-house manufacturing unit in India.Make a difference to your kitchen through a range of most dazzling and exquisite cutlery offered by us. Our collection is an excellent demonstration of the beautification of cutlery.Make meals an elegant affair with well-designed, 100% food grade stainless steel cutlery. Add a touch of design to the table with practical, well-designed cutlery. These pieces have thick stems for durability, and soft-curved edges for safety, style and functionality. Our ranges will suit both basic and formal table settings.Each piece in the Shapes Cutlery Set has delicate and simple design elements on them that will never go out of style no matter how often you use them. Moreover, these stylish pieces can be used everyday as they are designed with thick stems for durability. Its smooth edges also ensure safety. Package Content: 12 Pcs Dinner Fork."
34500,Clothing & Accessories,ManQ Men's Blended V Neck 5 Button Waistcoat
22151,Books,"NTA UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude by Pearson About the Author K V S Madaan is Founding Director cum faculty at BesTest.in, a Mock Test platform for various prestigious competitive exams. He has more than eighteen years of rich teaching and research experience. He has worked as Associate Director, School of Business Management, Arni University, Kangra; Director, Punjab Business School, Mohali and Head of Department – Management, MM University, Solan, Himachal Pradesh; and also as Faculty for Management with Chandigarh University, SAS Nagar-Mohali. He has helped thousands of career aspirants to realise their goals. A trainer cum keynote speaker of many UGC and AICTE sponsored Faculty Development Programmes; he has conducted training sessions with many renowned institutes across the country."
20304,Books,Tribal India by Nadeem Hasnain Product Condition: No Defects.
46570,Electronics,"Nikon A211 8 x 42 Binoculars The Aculon A211 8x42 binoculars feature 8-power multicoated lenses and 42mm objectives fabricated with Nikon's exclusive lead and arsenic free Eco-Glass. The BaK4 Porro prism systems within all Aculon A211 binoculars deliver a high quality image under a multitude of lighting conditions, making these binoculars effective from dawn till dusk. All together the Aculon A211 8x42 binoculars are a compact, high-quality, and cost effective choice."
33777,Clothing & Accessories,Q-rious Women's Cotton Lycra Trousers/Pants/Chinos (Pack of 2) Enhance your elegance with Q-rious cotton pants/trousers fabricated with cotton. The side zip closure allows it worn with utmost comfort. Half Elasicated waistband makes you feel relaxed in every occasion.
37824,Clothing & Accessories,"ZEYO Women's Cotton Navy Blue & Pink Feeding Night Suit,Heart & Dot Print Nursing Night Dress"
15672,Household,"Luminous 3.5 Kva Pure Sine Cruze Wave Inverter Home and Commercial establishments have higher power needs. Also, frequent power cuts can hamper the overall performance of the appliances. Luminous 3.5 KVA / 4 Battery System offers high quality and reliable power backup solution for running office and sensitive appliances. Key Feature 4 Battery / 48 Volt system for running Office and Air-Conditioners. Running Load Lights, Fans, Refrigerator, LED Television, Water Motor, Laserjet printer, Multiple Computers, Laptop and Mobile charging Color Silver Battery Support 120 Ah - 220 Ah Battery System Four battery / 48V Technical Details Wave Type Pure Sine Wave Rated Capacity 3500 VA Output power 2800 Watt Input Voltage 110V -290V Output Voltage (Ups Mode) 180V - 230 V Charging Current 21 Amps Recommended Battery Ah 135 Ah - 180Ah Full Battery Recharge Time 10 - 12 Hours Protection Overload, deep discharge, short-circuit, Reverse polarity & Input mains protection through MCB and by pass switch. Weight 25.0 Kg Dimensions 40 *38 *47 cm (L*W*H) Display Indications Mains available - yes Battery Charging - yes Battery Charging level in % -yes Inverter switched on - yes Low Battery indication- yes Overload Indication - yes # Battery is not included with this purchase."
35835,Clothing & Accessories,"Verticals Stylish and Trendy Denim Blazer Full Sleeve Fashion Blazer for Men and Boys (Denimblazerblue-01) High quality Single Breasted for all purposes.It is about attitude, individuality and quirky youthful urban style. This single breasted blazer is fit to be teamed with any formal trouser or denims to give it a look that you may desire."
26176,Books,"HBR's 10 Must Reads: On Communication (Harvard Business Review Must Reads) About the Author Harvard Business Review is the leading destination for smart management thinking. Through its flagship magazine, 11 international licensed editions, books from Harvard Business Review Press, and digital content and tools published on HBR.org, Harvard Business Review provides professionals around the world with rigorous insights and best practices to lead themselves and their organizations more effectively and to make a positive impact."
16729,Household,"Bulfyss Imported Multi-Purpose Mountain Bike Bicycle Repair Tool Kit Allen Key Spoke Wrench This multi-function bike tool is portable, lightweight and the perfect accessories for general bike repairs. This is accessories tool for regular Maintenance and emergency repair for cycle enthusiasts.. 15 in 1 Multi-function bicycle repair tool kit durable and fully functional. Socket Hex Wrench 8/9/10mm, Slotted Screwdriver, Phillips slotted Screwdriver, Socket extension rod,Ãƒ'Ã'Â . Solid wrench 8/10/15mm, Hex (Allen) key 2/2.5/3/4/5/6 mm, Spoke Wrench  Features:  100% Brand new and high quality  16 Functions in a bicycle repair tool kit,super great.  Professional accessory for universal bike repairs.  Durable material for long time using.  Unique design, can be folded into a small size.  Portable to be taken outside.  The inside of the reinforcing structure, more solid, more durable  The material is more rigid, inflexible, pry the tire can save time.  The more a non-slip pattern, tire pry more handy!  The non-slip pattern and the inside of the tire rods can be combined to another branch, fight together, easy to carry."
41879,Electronics,"TP-Link TL-WA855RE Wi-Fi Range Extender (White) Style name:N300-Performance   Boost Your Wi-Fi Coverage at Home or Office With just a few settings, you can expand the Wi-Fi connectivity using the TP-Link TL-WA855RE Wi-Fi Range Extender. With the provision of effortless expansion of network, this range extender makes it simple to access wireless network in a wider area. Buy this unique and compact Wi-Fi range extender on Amazon.in enjoy seamless internet connectivity in all corners of your home. Get Super Strong and Powerful Wi-Fi Range The compact size of this device does not stop it from giving you a boosted Wi-Fi network. All you have to do is connect this device to a WPS router and the two external antennas assist in boosting the range further and stronger. With MIMO technology, this device enhances the wireless speed making sure that the network reaches your mobile phone or laptop. Supporting up t0 300Mbps, this range extender is worth the buy. Use this Device at Home, Office or Hotel Rooms From boosting the Wi-Fi around your home to extending the range at offices, this device can be used to create a Wi-Fi network of your own. If you are in a hotel, you can connect this device to an Ethernet port and create your very own hotspot. With all these functions, you can also give it access control and a power schedule.Toll free no : 1800 2094 168 Email : support.in@tp-link.com"
41049,Electronics,"Samsung Galaxy Tab A 7.0 Tablet (7 inch, 8GB, Wi-Fi + 4G Volte + Voice Calling), Black"
29258,Books,"Indian Polity 5th Edition Review best book for polity laxmikant 5 th edition 2017,it is very well written,its complete book for self study,original book not a xerox copy,all previous year solved from 1993 to 2016 (mcq prelims) also solved mcq for prelims for practice (276 question) and many more question unsolved for upsc main exam. --ByAmazon Customeron 13 September 2017An only book for Polity to clear Gov exam, but pdf of indian constitution also required for in depth comprehension. --ByAmazon Customeron 10 March 2017Its a perfect book and you dont need anything else in this subject for pre if you have this book. It has almost every topic covered arranged in an organized manner and it helps increasing ur knowledge alot. A great buy --ByShweta Singhon 16 September 2017 				    	 					 About the Author 'M Laxmikanth obtained his postgraduate degree in Political Science from Osmania University in 1989. He is the former founder and director of an erstwhile coaching institute"
10771,Household,Phenovo Automatic Ignition 1300℃ Blow Torch Burner Flame Tool BBQ Flame Blowtorch
37989,Clothing & Accessories,"GOLDSTROMS Women's Maternity Pant/Jegging Goldstroms Women Maternity Jegging/Pant is made of Super Soft Elastic Fabric which provides Superior Comfort and stretches easily. It provides balanced support that Relieves Pelvic Pressure and Lower back discomfort. Boosts your figure and your confidence, Perfect for any any Climate."
8557,Household,"Philips 9290018611 Base B22 10-Watt LED Lamp (Pack of 2, Warm White) Philips 10w led lamp base b22 - linear (warm white, pack of 2) The colour of this lamp is warm white known as golden yellow (3000k)Base: b22Lumens: 1000 Dimensions (approx.): height: 8.0cm, width: 20.5cm Salient features Swivel body action(for better focus)Plug n play hassle less(fits into existing holder)Better(wider) light spreadUpto 33 percent energy saving compared to Philips 15w cdl CFL lamp Lasts up to 15 years(based on 2.7 hours per day in open fitting/15000 hours)."
4105,Household,Jaipur Ace Gold and Silver Plated Floral Bowls and Spoon with Octagan Tray
