,Document,Topic_group
15697,change approval flow for expense report tuesday re approve per mails done back ground then please action thanks wrote hi update change expense report believe sick leave unknown return date cheers head digital date friday accounts receivable lead thursday pm hi currently sitting unfortunately currently off sick signed off period mechanism moving part level question cheers head digital,Miscellaneous
27403,license friday october license hello designated license help thank,Access
39077,unable to access storage access hello have issue accessing shared can access only when connected through best regards developer,Hardware
22574,change the owner of the wednesday pm logged hello further please change owner well myself thanks kind regards leader,Miscellaneous
31993,remove end date on account contract due dear please take thank administration officer friday pm re contract due hi please ensure terminated until determine extend his internship fall kind regards date thursday pm re contract due hi re working extend his work fall waiting thanks senior designer jersey date wednesday pm contract due dear contract due please contract extended date note by disabled contract ended regards note mailbox receive messages,Miscellaneous
16381,access to your zone wednesday pm zone importance high hi kindly asking provide zone order receive nominees nomination history order easier understand requirement please note zone same role role transferred please let once everything kind regards starting st maternity leave kindly asking requests related colleagues assist mobility officer,HR Support
18301,address wednesday march pm hi please update details thanks street thanks best regards,HR Support
8735,kind request for adding submitting a day off request oracle fusion for kind submitting off hello please add submit annual leave friday st today especially important st sept because cannot submit without today billing entire begin reason ask friday did feel well had take off fill while vacation announced verbally today submit starting tomorrow promise won again except perhaps situations friday which rare thank kind regards consultant developer clearing,HR Support
27883,new purchase po apple keyboard thursday october pm purchase po dear purchased apple keyboard please log installation please take consideration mandatory receipts section order receive item ordered kind regards administrator,Purchase
21266,bucharest owners list for thursday february owners hello please ad owners thank communication specialist,HR Support
17186,updates to be made tuesday pm updates made dear updates made employment type hourly thank lead,Hardware
41798,oracle expense app sent thursday re details for expense app still working afraid have definitely entered host password correctly only possible mistake could be entering need some help head sales date thursday details for expense app hello please allow up hours more then try again if still work please get back thank you kind regards analyst ext hub sent thursday re details for expense app have followed instructions but failed because need leave few hours used host you gave password was sent prior your have done something wrong head sales date thursday details for expense app hello please note you have received regarding your app password please note take up hours for app sync please follow below steps step host name your password you receive with locally generated password you can change later by yourself after their part should be empty field step press done step press please contact should you require further assistance thank you kind regards analyst ext hub sent friday details for expense app hi there have downloaded expense app onto part setting up asked for following host password can you let know what need enter please cheers head sales,Access
9347,old laptop old hello remember old number believe stored somewhere devices history please provide number had thank developer mob description image zone,Purchase
29908,access to ion should be granted to friday pm granted resources hi guys joining please provide resources per attached thanks,HR Support
16237,removal from approval requests friday pm re invoicing removed requests invoicing hello please forecast calculators please inform type require write kinds regards analyst ext hub friday pm invoicing hello guys please give forecast calculators thank much,Miscellaneous
9063,access to hi give rights folder folder created couple years ago worked thank senior architect,Storage
2431,leaver inventory update tower leaver form interns hello please find attached leaver form interns discipline thank specialist,HR Support
2608,new opportunity setup oracle pas oracle opportunity setup hello please create opportunity under known pipeline opportunity please reach out further information thanks,Internal Project
17402,phone upgrade alley of classics wednesday phone upgrade hi please log tickets queue updating phone meeting rooms mercury alley classics update reduce boot offer better interface thanks technician,Hardware
26501,access thursday november pm hello working require machine re implement continuous lamp which connects jobs machines regards senior developer,Hardware
19783,new starter for friday march pm starter form,HR Support
40605,annual leave wrong hours oracle sent annual leave wrong hours hello once again error for annual leave for she had annual leave th th but she hours for annual leave also weekend please assign thanks leader,HR Support
35208,credentials expired credentials expired hello with colleagues asked extend for internship but shows our credentials have expired best regards intern,Access
41840,cannot edit can anyone help need change cr type urgent need be able justification for,Hardware
32960,annual leave request wednesday july schedule absence cum tester ext,HR Support
38885,critical alert sent critical alert following alert occurred status active tape library based tape protection weeks copy description detailed tape inventory failed operation failed since slot library based was empty tape currently present drive drive,Administrative rights
40038,security badge about to break badge about break for moment still working but knows for how,Access
22144,wants to access sales contribute thursday wants assist delivering accept decline,Storage
8769,mouse mouse told let given mouse mine broke thanks,Hardware
47458,access to reports sent friday re access reports hello stress importance having access server information stored there with our machines please treat with high priority kind regards manager en sent friday re access reports hi think there might be misunderstanding we need info below link info should be available going forward also best regards sent re access reports hi seems info needed today closes today if you could help would be much appreciated thank you sent access reports hi was able access link below if possible please help used be able access thank you,Hardware
6612,laptop screen bad pixels on the screen screen bad pixels screen hello dear got recently work has bad pixels zones screen extremely annoying working which doing part work please replace similar model move replacement device regards consultant proud member hybrid mob vacation october october,Hardware
45154,can connect to mail sent monday can connect dear could you help with access server book after change password can access server also can access got access error can access using customer managing add using following details or password thanks regards,Hardware
43620,port sent tuesday march port hi can please get help port laptop working anymore seems be hardware problem please help best digital,Hardware
19802,on friday march pm hi please assign thanks head mob,HR Support
1517,password reset for external client expire today hi writing stakeholder client please advise matter he needs shared sources thanks mobile expire today expire today importance high dear expire today change pc press ctrl alt delete choose change thanks ext,Access
14364,full access thursday re please provide assets hello coming back decision please make consultant friday pm re please provide assets enough thank phone friday pm please provide assets hello please advise meet needs normally teams administrator thank kind regards analyst ext hub,HR Support
17774,to add oracle for leaver thursday pm add leaver hello please help march he left generate seeing his entries entries report task details task details thanks leader,HR Support
11673,list of contacts friday july hi help explanation please log assign friday july re hello thank drop down app app please regards friday july re hi best guess did yet nor did other mapped worth perhaps reminding survey forward added further clarifications needed has helped thursday july pm hello seems app app please let regards app officer,Hardware
15879,management code for oracle and pas pas thursday pm code hi noticed codes available order accurately plan next code too unable find details how fill code excel codes please create code helpful done forecasts costs next thanks,Internal Project
7139,confluence users confluence users hi kindly create user confluence thanks regards colombia,Access
10415,service now remove from low satisfaction score notifications wednesday pm low satisfaction score locked out hello please kind survey algorithm manner exclude user receiving additional feedback surveys please log assign accordingly require further information please let best regards care wednesday pm re low satisfaction score locked out hi please kind regards lead administration specialist contingent extension building number fax contingent makes assignments available contractor jobs app updated opportunities download app android please consider environment printing low satisfaction score locked out hello begin by expressing sincerest apologies inconveniences experienced during interactions thank taking complete feedback survey detailed feedback helps identify gaps improve deliver implementing series care refreshers analysts order improve deliver ensure neither colleagues repeat information analysts understand complications customers repeating same information multiple analysts assure matter taken care notice improvements regards provide raised engineers investigate advise algorithm faulty explanation multiple surveys receiving seems possible receiving feedback surveys want provide feedback drop progress accordingly please let proceed removing assist please hesitate best client pl,Hardware
24786,wants to access friday december pm wants please accept decline,Storage
15058,new project oracle and pas notes thursday hello please kind help out by providing details regarding how fill setup form she fill details creation please attached form let helps further details needed after confirms details please proceed usual assign appropriate thank best regards leader ext,Internal Project
33124,access request for a list or library july pm library requesting library links library manage setting library hi please help write work thank,Storage
45130,password reset sync issue on mobile phone sent monday mobile phone syncing password after reset dear please log ticket assign for setting up phone was syncing his password after reset thanks kind regards engineer en,Access
25023,new starter pas bucharest december pm re date rd hi please find attached best regards,HR Support
20932,access for the maintenance tuesday february pm re must provide order building alarms hello sorry delay replying letter order provide computer software package rd party users created routes responsible type requests help please take ownership solve possible further clarifications please let best regards technical consultant please consider environment print tuesday february pm re must provide order building alarms hi updates taking more than weeks please take care resolved possible best director re must provide order building alarms importance high hello everyone kindly asking update awaiting communication thank engineer ext re must provide order building alarms importance high hello guys please give update regarding thank lead tuesday pm must provide order building alarms importance high hello please advise looking forward hearing thanks kind regards analyst ext hub tuesday re must provide order building alarms importance high hello currently stuck locally awaiting further instructions side continue kindly asking please push highly important finish by thank engineer ext must provide order building alarms hello please advised thank kind regards analyst ext hub pm re must provide order building alarms hello everyone kindly ask highly great having issues building needs regular monitoring by thank thursday pm must provide order building alarms hello per advice please requested change thanks kind regards analyst ext hub tuesday pm must provide order building alarms hi please assist thank analyst ext hub tuesday pm re must provide order building alarms hello please assist creating change assigning proper reviewer cr thank kind regards engineer ext re must provide order building alarms great assume cr included reviewer technical reviewer cr please kind regards re must provide order building alarms thank since computer has never connected needed tunnel enough kind regards engineer ext re must provide order building alarms thanks computer completed isolated connect computer concerned about installed computer itself patched cannot make out rest question browse out sites form computer logged want download install updates operating kind regards re must provide order building alarms hello computer located room connected member suggested idea isolate computer separate provide particular machine also available room easily connect machine please let require more details about machine thank engineer ext re must provide order building alarms hi allow building computer located moved isolated back rest pf computer member computer back rest computer authentication purposes which makes harder fulfil find out computer member also find out segment connected moment segment isolated rest perhaps more about kind regards must provide order building alarms hello please advise thank kind regards analyst ext hub pm has assigned hello please advised record number has assigned please review details take appropriate action reference number details null choose template applicable please provide short description must provide order building alarms details had issue where alarm detected due having computer software issued owner whom excellent cooperation contractual basis provided computer thank add requested location location please link kind regards ref msg,Hardware
23797,annual leave friday december tuesday december pm annual leave friday december hello friday annual leave please add date thank senior developer,HR Support
2328,new purchase po purchase po dear purchased monitor inch please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards kind regards administrator,Purchase
8838,possible possible hi wanted forward out think section which shows link personally thanks friday pm looking based pricing contract experience hi large client looking knowledge based pricing contracts reference cases where based pricing contracts clients based pricing client wants index certain metrics which benchmark against peers performance based index also want bonus incentive index basically made out metrics productivity cost speed robustness efficiency transferability total index these metrics periodically measured by cast different please reach out knowledge experience area thanks head,Hardware
17399,add a wednesday pm change dear please log high priority client campaign added same behavior tickets created points let possible done today tomorrow latest engineer reach myself anytime thanks mob,Miscellaneous
19567,projector needed today on th floor wednesday march pm projector needed today floor hi guys sorry minute found out also projector same yesterday hands session today thank,Hardware
18595,new access for addition to the admin telephony path thursday march pm hello dear colleague has initially begun sd analyst has switched please help out granting her extras follows addition telephony path further details provide please let thanks kind lead,HR Support
19956,monthly backup report thursday march please log backup report dear please log name category application summary backup report description prepare backup report name priority assigned thank kind regards reference reoccurring,Miscellaneous
13494,credentials issue thursday pm credentials issue hello create job ties repository repository interview process app git assist credentials provide user has rights interview process app repository process app browse thank,Access
24313,approver for december re employer hello future want person approves mails urgent turn wrights without approvals thank thursday december pm employer hi require assistance issue thank analyst ext hub thursday december employer hello important unfortunately approved yet please give rights important today thank wednesday december pm employer dear please informed next couple days aligning actual sitting therefore please ignore received employer these automatically thank,Miscellaneous
16413,new purchase po wednesday pm purchase po dear purchased please log installation please take consideration mandatory receipts section order receive item ordered how video explorer kind regards administrator,Purchase
24984,success stories content updates tuesday december pm success stories content updates application engineer ext re success stories content updates phase hero component update done success stories overview image components across update done best regards application engineer ext re success stories content updates phase hero component update done application engineer ext success stories content updates importance high hi series content updates take further per attached spreadsheet marked please success stories updates success stories sheet make updates staging environment after final review move production phase hero component updates inner success stories success stories overview boxes images phase ii after final content updates review staging title tags cross linked images components where components integrated separately base industries propositions pages success stories inner pages after finish success stories changes move next other updates well priority success stories thanks,Hardware
19749,users march users hello please help users purpose jobs thank,Access
18803,access to com creation conf tuesday march confluence hi please crate both confluence collaborator thank head analysis,Access
2543,impediments at logging time impediments logging hi activity deleted delete more than takes almost minute thank,Storage
2477,extension purchase request extension purchase hello currently ongoing proof concept purchase extension minimum amount users users months help details needed thank senior tester ext id canton,Purchase
20283,cable and adapter friday february pm cable adapter hi cable adapter thanks senior engineer,Hardware
39442,issues sent tuesday july re issues considering bad history we had with would kindly ask what alternatives we have please question initial situation getting even worse period frustration accumulated within teams we heard members saying working anymore with limitations would like medium losing members thank you senior manager sent tuesday july re issues hello everyone issues still persisting we speak please open incident for thank you manager sent july re issues also received feedback teams we experienced poor performance week sent july re issues hi reopening issue with poor performance we discussed month ago back then seemed we had some technical issues we solved right away seems same issue happening for quite few days with responding quite slowly we have lag while typing question other encountering poor performance issues question there other secure options we can propose replace secure tunneling without virtual machines even when issue was solved last month still did respond expected seems members got quite frustrated working environment proposed themselves alternative options thank you senior manager sent monday re issues hello for th floor connection better but yet operational kind regards sent monday re issues confirm much better also for th floor thanks lot for efforts much appreciated sent monday re issues confirms working better well thank you sent monday re issues hi we can confirm connection with better thank you senior manager sent monday re issues hi we received word connection restored checking we speak with impacted speed things up if any you forum encountered any issues can you please advise have resolved thank you manager sent re issues hi thank you for your work anything you can get rd party resolve quickly would be very much appreciated regards sent re issues hi then separate notification be sent since everyone needs be already here we have found root cause problem connection our provider dropped connection was switched provider only offers bandwidth was escalated rd party help out with sorting issues please keep forum updated based updates you receive thank you manager sent re issues hi thank you for your prompt response you can use list for updates issue any other needed regards senior manager sent monday re issues hello networking currently investigating issue treated incident initial assessment shows there issues only users trying access impacted keep you up date matter let you know any findings meantime can you let know if there any base list should send status updates thank you manager sent re issues hi ll get touch with keep you informed matter added for awareness thank you manager sent re issues hi somebody tested outside seemed work fine please entire thread below would be good ensure we did we could our side before escalating with we already tickets with too regards senior manager sent monday re issues hello understand suggested cut middle escalate issue relevant probably have already forwarded message there possibility incident however teams respond well before agreed interval depending load curious understand why does anyone believe issue consultant sent re issues hi only by issue but other locations too considering we have already sent issue description please attached sent need forward correct investigate you mention also would be good for issue be treated with high priority impacting for multiple teams thank you senior manager sent monday re issues hello please open ticket with investigate we have recently upgraded infrastructure bandwidth made we have thus somewhat surprising categorized issues regardless should investigate advise remedial actions consultant sent re issues hi initially raised issue confirmed issue be related meanwhile sent also but have ticket id yet attached you can find be back with asap have best regards sent monday re issues if tested issue we need make work adding conversation thanks sent phone wrote before escalating be good raise ticket with operations you have any contact for above thank you sent monday re issues hi since sounds like good reason speed bit process fix regards sent monday re issues thank you for prompt shall we escalate with help raise priority ticket speed up resolution regards senior manager sent monday re issues hi we experienced same issue our side raised our apparently related we have other updates yet regards sent monday re issues hello we have raised issue our problem appeared today kind regards sent monday issues hi lately we facing issues with working really slow sometimes when you type you need wait bit text screen can you please let know if there similar issues other locations we need know if something related infrastructure before escalating with thank you senior manager,Hardware
33586,purchase request for it final owner team id has been approved july purchase final owner id has approved dear purchased requested by items si speak please log installation kind regards administrator holiday notice july july ext think ctrl thursday pm purchase final owner id has approved dear pleased inform purchase has approved notified further progress due thank puma user guide found purchase note mailbox receive messages note mailbox receive messages,Purchase
9370,transfer form for transfer form hello please help by filling out transfer form thank ext,HR Support
13389,visual studio professional license pm visual studio professional license hello please provide visual studio professional license thanks,Access
21517,close review period february close review period hello tried close review period window appeared proposals mentioned relates please confirmed close review period want close review period warning period about close has proposals these proposals cleared close period apply level proposals apply level proposals regards,Miscellaneous
27481,close project oracle thursday october pm hi please advise how proceed closing code which needed anymore pm modify date thanks floor blvd district,Internal Project
29667,add printer wednesday pm la word prima add printer merci,Miscellaneous
41064,oracle status error sent tuesday status error hello can you please help with st th can nor submit card thanks senior engineer,HR Support
16560,video audio for all hands friday pm video audio hands hello rd series meetings building rd floor assistance order equip projector display audio equipment microphone speakers etc days questions please let thanks,Hardware
7002,request for adding hello has recently joined she added her has number thank software tester,Miscellaneous
44349,change not moved to approved change moving approved continually logging same issue with tm changes working change fully approved but moving onto approved aware issue have logged before,Miscellaneous
27720,cube from october cube hi variance report level how out regards head testing mob,Hardware
5883,access to mail hello please add starting november join talked decided good receive additional information date thank help kindest regards,Miscellaneous
10013,re admin access for people management com list re hi please well took over,HR Support
4020,rights access oracle rights hi please matter assign thank kind regards engineer tuesday november pm re rights dear approved thanks tuesday november rights hello please roles accountant thank kind regards engineer tuesday november rights hi please replicate order ledgers example moment ledgers also aging reports aging report receivables aging by please find path reports thank accounts receivable accountant,HR Support
3270,new project one space hello please add title code name status closed type thank senior,Internal Project
18292,request for project wednesday march hi client details attached more information please let kind regards head testing,Internal Project
9984,access inflight hi assistance side users inflight repository also thank head id image,HR Support
43403,error scripted diagnostics native host sent thursday march error scripted diagnostics native host hi since beginning week receive following error close however appears again every hour could you please tell what should about thanks for help regards master data officer,HR Support
18326,new starter tuesday march pm re starter form date please find attached tax march starter form date dear please assist completion attached starter form joining march thank kind regards,HR Support
23548,add users to security all service delivery wednesday pm add users hi guys please add both groups added both thanks kind regards leader,Miscellaneous
28988,project set up pas correction october hi please attached please note supplied wrong name originally please update reflect code well regards director,Internal Project
3678,open request dear mind create package asap because tomorrow moving tower afraid affects environment best regards senior architect,Access
35468,annual leave annual leave hi guys by mistake have deleted withdrawal approved annual leave for could you please let know if you can amend or what process would also want vacation days for th th but cannot submit request please below by mistake again submitted request for th th but deleted please log ticket if needed kind regards desktop engineer,HR Support
31087,assign to project wednesday pm assign hi please assign receive her annual leave requests pm level thank,HR Support
15976,reset password for external user called inform needs order,Access
17775,reactivate access card wednesday pm re badge activation card card ca wednesday pm assistants re badge activation va va analyst ext hub wednesday pm assistants re badge activation hi card number best regards wednesday badge activation hello please advise possession card enable building kind regards analyst ext hub tuesday pm badge activation dear please activate badge contract currently visitor enter building thank,Access
20415,owner and name change wednesday february pm owner name change hello please change ownership owner myself also possible change thank senior developer,Miscellaneous
8469,android phone laptop for testing android phone testing hello testing purposes devices android phone running os please kind let available thank kind regards infrastructure ext phone,Hardware
28812,eel manager access for tuesday october pm eel hi please log assign kind regards engineer tuesday october pm re tool required thanks please upgrade level similar has thanks,Administrative rights
477,monitor raiser request monitor raiser hi please help installing raiser monitors thank senior developer,Hardware
11546,write access for and on one com agile practice july pm write agile dear provide write site both actively involved agile groups agile thanks agile lead,Miscellaneous
45553,lost access card sent wednesday december misplaced card hi unable locate entrance card could you provide one revoke old cheers,Access
31610,contractor extension new end date pm contractor extension date please update date ensure he retains friday kind regards planning officer,HR Support
36061,missing career field oracle for mite career field for hi could you please investigate why we career field for one person please screen thank you regards senior engineer en,HR Support
10562,external monitor tuesday hello monitor work monitor help please thank,Hardware
24245,confluence access friday december pm confluence hi possible add confluence tried setting preferences find search users assume confluence thanks analysis,Access
22365,and access to one another account friday pm re sharing problems hi log process ask him his which he provide by procedure processing requests other person mailbox requests results trail recorded thanks kind regards re sharing problems hi thank approves share each other mailbox writing sufficient best regards re sharing problems hi think add mailbox configuration additional mailbox yours equivalent job roles sounds has approved kind regards re sharing problems dear thank workable having shared mailbox each other back during holiday etc receive own mailbox best regards sharing problems hello kindly advise allowed possible recommend create shared mailbox thank analyst ext hub thursday pm sharing problems drop question want share colleague possible add colleague did add second picture gave rights changed thank best regards senior,Storage
23981,access to confluence wednesday december pm confluence hello please confluence assignee perfect kind regards application developer,Access
3045,leaver service now november leaver form leave date november location hello leaver form has filled by name leaving date november location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other processed returned locally commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments dedicated allocated needed tickets automatically logged best regards note mailbox receive messages,HR Support
641,new purchase po purchase po dear purchased pixel pixel please log allocation after receive item please take consideration mandatory receipts section order make receipt item ordered how video link kind regards administrator,Purchase
13647,pass sonar access over to and tuesday pm re sonar hi please pass sonar over pm best given pm design lead kind think he has regards,HR Support
5214,live reset client hello please assist thank kind regards analyst tuesday october pm administrators dear because referring user directory user please how handle topic kind regards by logo,Access
22824,leaver notification testing leaver testing hi please add leaver testing discipline receive receive testers thanks head testing,HR Support
21458,  february pm good afternoon evening purchased pro sec basic please log installation installed onto his thank administrator,Purchase
23718,po thursday december pm po po alright two purchases two mobile phones po galaxy id po galaxy id please create two installation tickets discussed information seems contrary provided gathered thank administrator phone,Purchase
42817,and cannot edit known and unknown pipeline hello budgeting for next progress be able complete responsible need update also client known unknown pipeline moment known pipeline we have access error message saying moment unknown pipeline editable greyed out cells correctly selected scenario budget please access known pipeline please advise how we can proceed with editing unknown pipeline could be we skipping some steps or maybe also question rights since budget meeting scheduled for would kindly ask you approach ticket with high degree urgency thanks,Internal Project
19849,request access to area et friday march area greetings please secured area tower thank regards officer,HR Support
46758,outlook issue via sent monday october issue hello have problem regarding app laptop have for when connected work ask for password but connecting could you have look need use while connected thanks automation tester mob en your zone,Administrative rights
20383,project access request ion thursday february hello dear please give thank engineer,HR Support
39141,calendar meetings struggles sent tuesday calendar meetings struggles dear beside part events where scheduling events for simple scheduling inviting employees problem but if want meeting receive following message would appreciate your help thank you best regards specialist,Hardware
34784,missing info for referral info for referral dear please be informed referral per info select minds however there only profile without name referrer or position was referred for could you please address issue kind regards,Hardware
31378,new list hi please help create per details name nap nap owner members more information please let best officer,Miscellaneous
28417,oracle fusion pm permissions for the project code wednesday october re pm permissions code approved october pm permissions code dear currently buzz points code even pm role particular cannot forecasts please assign pm permissions pm please approve please treat urgent thank head,Internal Project
5756,amend automatic leaver tickets snow leaver october has assigned hello please rule type requests escalated possible also please provide rules configuration snow automatic tickets logging queue thank best regards senior engineer october pm leaver october has assigned hello please advised record number has assigned please review details take appropriate action reference number details description note mailbox receive messages location generic location please link kind regards ref msg,Miscellaneous
47796,manage timecard issue engineer submitted timecard probably by using instead hours actual number hours entries noticed trying timecard unfortunately if add hours days unable save get error row you must enter either only or start stop times attaching have add row fill properly delete original entry,HR Support
10830,swapped thursday pm swapped hello cards swapped follows please log allocation kind regards administrator,Purchase
43118,issue sent tuesday march issue dear please could you help with issue we using slave because our we deployments but job logging error below detailed affecting couple jobs we have quality attributes explorer started by loading node environment variables building remotely slave quality attributes explorer deploy front git rev parse inside work timeout fetching changes remote git repository git remote origin quality attributes explorer git timeout fetching upstream changes quality attributes explorer git git version timeout using git set credentials generic git fetch tags progress quality attributes explorer git refs heads refs origin depth git rev parse refs origin develop commit timeout git rev parse refs origin origin develop commit timeout checking out revision refs origin develop git core timeout git checkout git rev list timeout deploy front bin sh sh node version sh line node command found build step execute marked build failure started calculate disk usage build finished calculation disk usage build seconds started calculate disk usage finished calculation disk usage seconds warning you have providing access control for builds falling back legacy behavior permitting any downstream builds be triggered finished failure thanks senior developer colombia,Access
46940,cannot log into the open service cannot log into open certificate error,Hardware
25149,add to managers list december pm add dear colleagues kindly asking add name thank,Miscellaneous
10141,update details oracle update details hi let how update details thank mobile,HR Support
19020,laptop charger thursday march pm va,Hardware
1510,new purchase po purchase po dear purchased deep cool please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,Purchase
10903,order number wednesday pm re order number log installation provide items growth type hub similar professional backpack present arrive next thank much administrator mobile phone wednesday pm order number hey folks requested by please log installation please perform order number how thank administrator mobile phone,Purchase
